1st Quartile / Median / 3rd Quartile per op/bench
-----------------------------------------
benchop    mata           mata-sim
---------  -------------  ---------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bcd  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bi   60, 60, 60     60, 60, 60
empti/biu  0.0, 0.0, 0.0  0.0, 60, 60
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/ai   0.0, 0.2, 0.3  0.1, 0.5, 0.7
fair-/bcd  0.3, 0.7, 1.8  0.2, 0.8, 1.5
fair-/bci  0.4, 0.8, 1.7  0.3, 0.6, 1.4
fair-/bcu  0.0, 0.1, 0.1  0.1, 0.2, 0.4
fair-/bi   0.0, 0.0, 4.7  60, 60, 60
fair-/biu  0.1, 0.3, 1.4  1.1, 60, 60
fair-/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.1
fair-/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/znc  0.0, 0.0, 0.1  0.1, 1.7, 24.7
inclu/ai   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/bcd  0.1, 0.3, 0.9  0.0, 0.2, 0.4
inter/bci  0.1, 0.4, 0.9  0.0, 0.1, 0.3
inter/bi   29.4, 60, 60   0.0, 0.3, 1.8
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2  0.0, 0.1, 0.2
minte/bcd  0.0, 0.1, 0.1  0.0, 0.1, 0.1
minte/bci  0.1, 0.1, 60   0.1, 0.1, 60
minte/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1
minte/bi   0.1, 60, 60    0.0, 0.2, 0.7
minte/biu  0.0, 0.2, 0.7  0.0, 0.2, 0.7
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa/ai   0.1, 0.5, 0.6  0.1, 0.7, 1.1
overa/bcd  0.3, 0.7, 1.8  0.2, 0.8, 1.5
overa/bci  0.4, 0.8, 1.7  0.3, 0.6, 1.4
overa/bcu  0.1, 0.3, 0.4  0.2, 0.4, 0.6
