name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.05; 0.016598; 0.008395;0.023434;0.007838000000000001;0.0032129999999999997; 2e-06; true; 0.061631
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.18; 0.041648; 0.017311;0.066537;0.046381;0.01766; 5e-06; true; 0.194617
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.29; 0.038472; 0.01798;0.108048;0.107006;0.031365; 4e-06; true; 0.308287
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.28; 0.031717; 0.013716;0.04501000000000001;0.166437;0.055099999999999996; 2e-06; true; 0.315555
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.67; 0.045932; 0.0143;0.063195;0.44224800000000003;0.16983199999999998; 3e-06; true; 0.739354
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;1.65; 0.06957; 0.027383;0.1851;1.1078299999999999;0.40756499999999996; 3e-06; true; 1.80524
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;3.58; 0.094043; 0.036436;0.329842;2.154409;1.204464; 5e-06; true; 3.83085
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;10.47; 0.107416; 0.032261;1.184149;6.395933;3.436048; 4e-06; true; 11.1706
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;25.37; 0.073265; 0.031079;3.026703;15.867111999999999;8.036256999999999; 4e-06; true; 27.0542
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;49.53; 0.082141; 0.038857;7.104753;30.852838;14.315648; 3e-06; true; 52.4202
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001199; 0.005874; 0.000112; 1.3e-05; 7e-06; 1e-06; true; 0.008104
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO; 0.181318; 0.055665;7.971343;40.102734;6.932854000000001;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO; 0.202634; 0.067595;9.380318;20.415987;8.643177;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO; 0.138964; 0.048081;9.983979;21.918874;8.907204;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO; 0.105675; 0.039186;8.605277000000001;43.153108;7.078006;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;TO; 0.230068; 0.093769;11.654142;25.286685;10.235458999999999;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;TO; 0.24914; 0.08889;12.000779999999999;27.006732999999997;10.005168000000001;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;TO; 0.292158; 0.111393;11.056076000000001;23.005571;9.005396999999999;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;TO; 0.292064; 0.076173;12.571601000000001;30.156677000000002;11.630623;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;TO; 0.34489; 0.104946;13.411135;28.934507;11.715248;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;TO; 0.289521; 0.097837;12.211608;24.660497;9.886904000000001;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.0; 0.002819; 0.005851;0.000246;3.9999999999999996e-05;2e-05; 1e-06; true; 0.010281
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;TO; 0.283585; 0.071022;6.720427;33.890378;13.184417999999999;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;TO; 0.342946; 0.128372;7.767312;32.285478;12.478264;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;TO; 0.40674; 0.112146;7.253326;35.355431;13.385172;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;TO; 0.433532; 0.133672;7.357256;37.755809;5.708966;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;TO; 0.478366; 0.144991;7.765304;38.320409;5.58232;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;TO; 0.465014; 0.157215;7.267174;36.23482;11.934783;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;TO; 0.530978; 0.170794;8.328683000000002;40.191829;8.000649;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-37-*.mata;TO; 0.586137; 0.223719;8.240777999999999;38.482834;7.462861999999999;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;TO; 0.592012; 0.182612;9.524446;20.814030000000002;7.6103320000000005;MISSING;MISSING;MISSING
