name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.33;0.060936000000000004;0.016878;0.31746759999999996; 0.0002671000; True; 0.3382450000; 0.4349185000;0.95;0.027083799999999998;0.031201999999999997;0.2760038; 0.0001984000; True; 0.3100296000; 0.3808696000;2.24;0.08912858100000001;0.215086847; 0.421797914; 0.024451401; true; 0.675037594; 0.939522193
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.63;0.10413499999999998;0.037125099999999994;0.4476772; 0.0001608000; True; 0.4879919000; 0.6809234000;1.24;0.028998999999999997;0.0276687;0.5247967; 0.0003787000; True; 0.5578696000; 0.6305509000;2.79;0.07965581;0.24700298500000004; 0.52633208; 0.007211085; true; 0.788925415; 1.122788385
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;1.17;0.0761744;0.0430957;1.015969; 0.0002771000; True; 1.0626612000; 1.1909665000;2.05;0.04408120000000001;0.0683908;1.1285176; 0.0003157000; True; 1.2011366000; 1.3658022000;3.03;0.05392886399999999;0.15823344; 0.702229435; 0.031083641; true; 0.904047088; 1.130797155
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;2.37;0.0831957;0.1139039;2.3761549000000004; 0.0002274000; True; 2.4944277000; 2.6394625000;3.17;0.056271000000000015;0.11140800000000001;2.3082683; 0.0003003000; True; 2.4240252000; 2.5667911000;3.93;0.051983313999999996;0.18303941899999995; 1.28356795; 0.015305498; true; 1.489824047; 1.712553668
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;5.05;0.0897506;0.17992110000000003;5.1598524; 0.0003256000; True; 5.3441730000; 5.5011585000;5.92;0.046906100000000006;0.24308549999999998;4.7856254; 0.0003089000; True; 5.0367422000; 5.1410988000;4.99;0.06654658299999999;0.23567496799999998; 2.305012091; 0.030359072; true; 2.614514907; 2.855530014
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;10.86;0.0935874;0.6581403;10.3295066; 0.0003285000; True; 10.9936290000; 11.1319033000;11.59;0.030856699999999997;0.2992416;10.4192046; 0.0002740000; True; 10.7223473000; 10.7905220000;8.36;0.05428938;0.21927431100000003; 5.138066983; 0.023052495; true; 5.403259092; 5.652695571
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;22.77;0.1031113;0.6776839;21.5727329; 0.0002703000; True; 22.2549609000; 22.4063087000;23.79;0.04751619999999999;0.7923322;21.9930558; 0.0003018000; True; 22.7913778000; 22.9115629000;13.78;0.075449221;0.21954761; 10.413652629; 0.038258815; true; 10.681050689; 10.950755083
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;46.49;0.10838160000000001;1.7347306000000002;44.3020185; 0.0001696000; True; 46.0434283000; 46.2077259000;48.61;0.04554819999999999;1.2333625;46.5295871; 0.0002768000; True; 47.7701546000; 47.8645877000;30.39;0.092139991;0.243171386; 22.202797862; 0.042651899; true; 22.501915643; 22.79577089
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;TO;0.07886010000000002;1.8089157;30.4891916;MISSING;MISSING;MISSING;MISSING;TO;0.05930300000000001;1.7543425;55.9052006;MISSING;MISSING;MISSING;MISSING;66.63;0.086672589;0.3719978139999999; 47.333392329; 0.365223502; true; 48.080211905; 48.338879531
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO;0.12375160000000002;1.6935986;35.275725300000005;MISSING;MISSING;MISSING;MISSING;TO;0.0608031;2.088072;35.0915868;MISSING;MISSING;MISSING;MISSING;TO;0.08426060700000003;0.262950932;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.13;0.051421999999999995;0.010366; 0.0114497000; 0.0003744000; True; 0.0249488000; 0.1220966000;0.94;0.0263767;0.0071825000000000005; 0.0111082000; 0.0003694000; True; 0.0218268000; 0.0927805000;1.17;0.027826937;0.088688068; 0.036500726; 0.003589206; true; 0.137110117; 0.259680957
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO;0.1600429;2.0046255;39.90638680000001;MISSING;MISSING;MISSING;MISSING;TO;0.0624669;2.0213676;36.5781326;MISSING;MISSING;MISSING;MISSING;TO;0.16395386100000006;0.43868766;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO;0.14929109999999998;2.7455793;40.1241171;MISSING;MISSING;MISSING;MISSING;TO;0.0627872;2.401944;43.098910000000004;MISSING;MISSING;MISSING;MISSING;TO;0.080131466;0.28773308000000003;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO;0.14376550000000002;2.3750103;43.9314785;MISSING;MISSING;MISSING;MISSING;TO;0.04332739999999999;2.1821567;42.4113087;MISSING;MISSING;MISSING;MISSING;TO;0.09568683900000001;0.41525995;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO;0.13865660000000002;2.5456807;47.243871;MISSING;MISSING;MISSING;MISSING;TO;0.06848930000000003;2.3264053000000002;45.231426400000004;MISSING;MISSING;MISSING;MISSING;TO;0.10652460700000004;0.607679444;MISSING;MISSING;MISSING;MISSING;MISSING
