name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.03; 0.024343; 0.009796;0.000287;0.000561; 7.7e-05; false; 0.038942
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.04; 0.031313; 0.009501;0.000339;0.0007059999999999999; 8.3e-05; false; 0.045628
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.04; 0.031831; 0.011609;0.00020500000000000002;0.000535; 6.9e-05; false; 0.047234
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.04; 0.040314; 0.012136;0.000263;0.000698; 8.3e-05; false; 0.056763
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.04; 0.040691; 0.015158;0.000328;0.0009350000000000001; 0.000102; false; 0.061077
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.08; 0.06362; 0.020957;0.000613;0.0016449999999999998; 0.000146; false; 0.093075
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.07; 0.056123; 0.023521;0.0007399999999999999;0.002164; 0.000216; false; 0.08992
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.07; 0.077704; 0.019546;0.000411;0.001555; 0.000102; false; 0.104212
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.15; 0.120133; 0.035985;0.0009390000000000001;0.0029820000000000003; 0.000369; false; 0.169788
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.13; 0.115511; 0.039949;0.0010509999999999999;0.0037259999999999997; 0.000265; false; 0.171296
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001366; 0.005694; 1.1e-05; 9e-06; 6e-06; false; 0.008012
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;0.12; 0.095226; 0.028127;0.0006389999999999999;0.002257; 0.000147; false; 0.133352
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;0.22; 0.177153; 0.049449;0.0012460000000000001;0.004846; 0.000303; false; 0.245872
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;0.13; 0.112957; 0.034643;0.0007810000000000001;0.0030939999999999995; 0.000215; false; 0.160593
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;0.24; 0.193183; 0.057337;0.0014870000000000005;0.005704999999999999; 0.000294; false; 0.272708
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;0.19; 0.132927; 0.054659;0.001617;0.007025; 0.000295; false; 0.213818
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;0.24; 0.196287; 0.045865;0.001071;0.004678; 0.000274; false; 0.259814
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;0.31; 0.242015; 0.063488;0.001956;0.009314; 0.000394; false; 0.336474
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;0.25; 0.203173; 0.056503;0.0012060000000000005;0.005710999999999999; 0.000324; false; 0.280034
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;0.38; 0.283523; 0.099315;0.002254;0.01089; 0.000445; false; 0.417412
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;0.36; 0.256713; 0.103039;0.00236;0.011637; 0.000456; false; 0.396542
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.0; 0.002986; 0.005868;2.4e-05;2.2e-05; 9e-06; false; 0.010072
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;0.33; 0.269844; 0.074188;0.0015309999999999998;0.007519000000000001; 0.000358; false; 0.36491
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;0.51; 0.378599; 0.116652;0.0027700000000000003;0.014809000000000001; 0.000496; false; 0.538831
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;0.52; 0.409969; 0.10333;0.002945000000000001;0.017525; 0.000847; false; 0.562652
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;0.45; 0.321001; 0.132686;0.0026890000000000004;0.010628; 0.000479; false; 0.48296
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;0.63; 0.452412; 0.163352;0.0034900000000000005;0.021334999999999996; 0.000796; false; 0.674895
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;0.52; 0.359127; 0.153085;0.0031340000000000005;0.016456000000000002; 0.000634; false; 0.56255
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;0.46; 0.352265; 0.097553;0.002016;0.014320999999999997; 0.000783; false; 0.490385
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-37-*.mata;0.74; 0.538416; 0.180273;0.004050999999999999;0.032207; 0.000832; false; 0.796106
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;0.63; 0.404999; 0.184438;0.004239999999999998;0.033510000000000005; 0.00104; false; 0.671501
