name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-sim-compl;mata-sim-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.0; 0.00224; 0.010553;6.1000000000000005e-05; 4e-06;4.9999999999999996e-06; 1e-06; false; 0.013518; 9e-06;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.0; 0.000597; 0.004094;4.7000000000000004e-05; 0;4e-06; 1e-06; true; 0.00535; 8e-06;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.0; 0.001322; 0.007107;0.00017700000000000002; 5e-06;4.9999999999999996e-06; 1e-06; false; 0.009947; 1.6e-05;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.0; 0.000598; 0.006759; 6.6e-05; 1.1e-05; 4e-06; 9e-06; false; 0.008077;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.0; 0.000734; 0.003896; 5.1e-05; 4e-06; 3e-06; 1e-06; false; 0.005283;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.0; 0.000385; 0.004137;4.7e-05;1.4999999999999999e-05;3e-06; 1e-06; false; 0.005187;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.0; 0.000779; 0.004785;0.000128;9.999999999999999e-06;8.999999999999999e-06; 1e-06; false; 0.006523; 1.3e-05;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.0; 0.000874; 0.004101;6.6e-05;4e-06;4e-06; 1e-06; true; 0.005714;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.0; 0.001125; 0.004277;0.001618;0.000119;0.00013199999999999996; 1.1e-05; false; 0.008702;0.000314;3e-05
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.0; 0.004437; 0.007958;0.004095;0.00024000000000000003;0.00020999999999999998; 4e-06; false; 0.019428;0.000713;4.2000000000000004e-05
