name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.1;0.13851680000000002;0.006350000000000001;0.006862999999999999; 0.0001503000; False; 0.0160654000; 0.1977350000;0.73;0.04418010000000001;0.010760600000000004;0.010203299999999998; 0.0002331000; False; 0.0239932000; 0.1465074000;2.08;0.067213579;0.12535622800000001; 0.253835993; 0.004434348; false; 0.391583935; 0.683155671
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.13;0.10181479999999998;0.009599;0.010784000000000002; 0.0001899000; False; 0.0231572000; 0.2089502000;0.91;0.056054900000000005;0.0217941;0.013312500000000001; 0.0001748000; False; 0.0374534000; 0.1880586000;2.12;0.034358781;0.13480188; 0.280444305; 0.001826178; false; 0.424149002; 0.562477997
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.14;0.10637769999999999;0.02025120000000001;0.0108088; 0.0002553000; False; 0.0343006000; 0.1823927000;0.82;0.04367560000000001;0.011552900000000001;0.0126337; 0.0002514000; False; 0.0273353000; 0.1242451000;2.81;0.059642627999999996;0.18497676000000002; 0.644293464; 0.005173606; false; 0.845320247; 1.116180534
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.16;0.1022114;0.010618300000000002;0.010800100000000003; 0.0002520000; False; 0.0244698000; 0.2021510000;1.0;0.0462712;0.011763299999999996;0.0138529; 0.0003466000; False; 0.0288915000; 0.1306327000;3.43;0.056427000000000005;0.21700284; 1.3028094; 0.002421319; false; 1.530474727; 1.753862211
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.17;0.14881119999999998;0.0123113;0.015301200000000001; 0.0002494000; False; 0.0310125000; 0.2337677000;0.92;0.0419997;0.014602599999999999;0.0151478; 0.0002412000; False; 0.0331457000; 0.1136315000;4.71;0.09141998200000002;0.25471697200000004; 2.881218975; 0.002175025; false; 3.145307217; 3.553094099
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.18;0.1731772;0.014410300000000003;0.016543800000000004; 0.0002699000; False; 0.0344643000; 0.2800091000;0.96;0.0496917;0.015146500000000002;0.015842500000000002; 0.0002487000; False; 0.0345405000; 0.1434996000;7.86;0.07255498099999999;0.28182082300000005; 5.258514294; 0.002887895; false; 5.556777511; 5.797620946
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.17;0.1125205;0.02266370000000001;0.015671099999999997; 0.0002825000; False; 0.0749673000; 0.2481419000;0.97;0.0523263;0.0131884;0.018378799999999997; 0.0001910000; False; 0.0350231000; 0.1393091000;14.56;0.11286016299999999;0.38256400799999996; 11.350844511; 0.002150224; false; 11.74308147; 12.089705777
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.18;0.12971100000000002;0.01300680000000001;0.018436799999999996; 0.0001401000; False; 0.0341687000; 0.2124506000;1.0;0.06167589999999999;0.018075099999999993;0.025176399999999998; 0.0207173000; False; 0.0661626000; 0.1975921000;29.63;0.06780143699999999;0.26798201399999994; 23.808856662; 0.001540407; false; 24.084488756; 24.370875012
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.18;0.11504609999999998;0.017473100000000005;0.025568300000000002; 0.0002363000; False; 0.0661611000; 0.2438296000;1.14;0.06867770000000002;0.016795000000000004;0.024709000000000005; 0.0003131000; False; 0.0470697000; 0.1747822000;71.28;0.067965356;0.236249185; 57.601024875; 0.005951171; false; 57.853126846; 58.130914551
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.11;0.07137170000000001;0.0086582;0.014129300000000001; 0.0001453000; False; 0.0261945000; 0.1411461000;1.01;0.0477355;0.010940700000000001;0.015299099999999998; 0.0001587000; False; 0.0290151000; 0.1351467000;TO;0.080992087;0.31435159400000007;MISSING;MISSING;MISSING;MISSING;MISSING
