name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.03; 0.017207; 0.012531;0.000298;0.000516; 6.8e-05; false; 0.033834;0.07; 0.030209; 0.013418;0.031147;0.00055;0.00035700000000000006; 6.9e-05; false; 0.078971
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.04; 0.039014; 0.012724;0.00017700000000000002;0.000407; 5.7e-05; false; 0.056489;0.1; 0.03756; 0.014021;0.056493999999999996;0.000769;0.0005510000000000001; 4.7e-05; false; 0.113679
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.03; 0.043028; 0.012583;0.00019900000000000004;0.0005700000000000002; 6.7e-05; false; 0.058882;0.09; 0.033227; 0.010865;0.055153;0.000555;0.00046100000000000004; 0.000135; false; 0.103317
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.04; 0.03113; 0.013094;0.00044199999999999996;0.001081; 8.9e-05; false; 0.049194;0.13; 0.030606; 0.013202;0.09002700000000001;0.000936;0.0008269999999999999; 0.000107; false; 0.139396
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.08; 0.063453; 0.023308;0.0005430000000000001;0.001323; 0.00014; false; 0.094065;0.25; 0.045644; 0.014922;0.19780199999999998;0.00097;0.001074; 0.000159; false; 0.264663
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.1; 0.075624; 0.02368;0.0006439999999999999;0.001754; 0.000181; false; 0.108814;0.37; 0.078108; 0.028349;0.26576600000000006;0.0013559999999999998;0.001361; 0.000205; false; 0.382524
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.07; 0.06256; 0.020336;0.00041000000000000005;0.001363; 0.000166; false; 0.089544;0.5; 0.054744; 0.030968;0.41888299999999995;0.001716;0.002149; 0.000209; false; 0.516764
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.14; 0.10286; 0.033634;0.000767;0.002224; 0.000158; false; 0.148276;0.57; 0.063344; 0.032484;0.480078;0.0013230000000000002;0.001584; 0.000193; false; 0.587654
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.16; 0.124967; 0.03911;0.0009930000000000002;0.002924; 0.00031; false; 0.17871;1.21; 0.120355; 0.039285;1.061407;0.001967;0.0028950000000000004; 0.000379; false; 1.23488
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.15; 0.13579; 0.028163;0.0010350000000000001;0.003502; 0.000287; false; 0.178692;1.11; 0.134823; 0.045806;0.9411600000000001;0.0018849999999999997;0.0021869999999999997; 0.000203; false; 1.13718
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001396; 0.005538; 1.2e-05; 1e-05; 5e-06; false; 0.008028;0.0; 0.00076; 0.00425; 6.1e-05; 8e-06; 7e-06; 5e-06; false; 0.005844
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;0.11; 0.093127; 0.029006;0.0006619999999999998;0.002341; 0.000233; false; 0.133025;2.07; 0.150075; 0.053121;1.870455;0.0024209999999999995;0.003133; 0.000251; false; 2.09183
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;0.15; 0.121367; 0.035226;0.0012010000000000002;0.004542999999999999; 0.000319; false; 0.171709;2.39; 0.146624; 0.031333;2.2316949999999998;0.0021689999999999995;0.003529; 0.000262; false; 2.42516
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;0.17; 0.116144; 0.058738;0.001412;0.0050420000000000005; 0.000258; false; 0.195722;2.85; 0.167493; 0.040404;2.659763;0.0024250000000000005;0.004084000000000001; 0.000303; false; 2.88509
