Average / Median / Average with Timeouts
-------------------------------------
op     mata            mata-old
-----  --------------  --------------
compl  0.0, 0.0, 0.5   0.0, 0.0, 0.5
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1
empti  0.0, 0.0, 5.2   0.0, 0.0, 5.2
inclu  0.1, 0.0, 0.1   0.1, 0.0, 0.1
inter  2.3, 0.0, 10.9  2.3, 0.0, 10.6
minte  0.1, 0.0, 7.6   0.1, 0.0, 7.9
parsi  0.1, 0.0, 3.9   0.1, 0.0, 4.0
runti  0.3, 0.0, 5.8   0.3, 0.0, 5.8
trim   0.2, 0.0, 3.3   0.2, 0.0, 3.2
union  0.0, 0.0, 0.0   0.0, 0.0, 0.0
