name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.034485; 0.012061;0.00026000000000000003
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;TO; 0.069069; 0.017355;ERR;ERR;ERR;ERR;TO; 0.065957; 0.016205;0.000446
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.506908; 0.122075;0.004756
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;TO; 0.045843; 0.013773;ERR;ERR;ERR;ERR;TO; 0.077151; 0.023387;0.000746
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.095609; 0.027484;0.000861
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.118767; 0.03242;ERR;ERR;ERR;ERR;TO; 0.131854; 0.039742;0.0011749999999999998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.088913; 0.028407;0.0008359999999999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;TO; 0.158912; 0.041483; 0.043562;TO; 0.104622; 0.032225;0.001036
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;TO; 0.119631; 0.035862;ERR;ERR;ERR;ERR;TO; 0.196131; 0.053356;0.0018960000000000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.215551; 0.056469;0.001938
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;TO; 0.229492; 0.057512;ERR;ERR;ERR;ERR;TO; 0.252885; 0.071347;0.002411
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.277094; 0.069792;0.002503
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;TO; 0.300086; 0.074849; 0.000246;TO; 0.18142; 0.054166;0.001732
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;ERR;ERR;ERR;TO; 0.33084; 0.081672; 0.000262;TO; 0.30617; 0.083239;0.003051
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.22011; 0.058255;0.001914
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.371489; 0.102098;0.0031479999999999998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;TO; 0.398692; 0.109098;ERR;ERR;ERR;ERR;TO; 0.412607; 0.104556;0.004063
