name;mata-runtime;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;ERR;0.03; 0.021554; 0.009324;0.000147;0.00030900000000000003; 6e-05; false; 0.034109
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;ERR;0.04; 0.04251; 0.013553;0.000389;0.0007469999999999999; 9.6e-05; false; 0.061473
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;ERR;0.05; 0.043674; 0.013579;0.00048399999999999995;0.0012059999999999998; 0.000125; false; 0.062582
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;ERR;0.05; 0.036097; 0.018538;0.00046499999999999997;0.0011440000000000003; 0.00011; false; 0.060943
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;ERR;0.06; 0.044359; 0.024565;0.000594;0.001549; 0.00018; false; 0.07731
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;ERR;0.09; 0.066791; 0.021067;0.000756;0.0020610000000000003; 0.000205; false; 0.097481
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;ERR;0.11; 0.090126; 0.026627;0.000592;0.002159; 0.000299; false; 0.124658
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;ERR;0.13; 0.100962; 0.033852;0.0009210000000000002;0.002507; 0.00015; false; 0.146724
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;ERR;0.16; 0.126603; 0.039083;0.0009639999999999999;0.0030139999999999998; 0.000176; false; 0.17977
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;ERR;0.17; 0.13394; 0.044997;0.001042;0.003623000000000001; 0.000182; false; 0.194867
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;ERR;0.0; 0.001276; 0.00578; 1.1e-05; 1.1e-05; 6e-06; false; 0.008103
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;ERR;0.2; 0.145905; 0.057083;0.00124;0.004621; 0.000326; false; 0.223477
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;ERR;0.2; 0.135744; 0.063573;0.0009580000000000001;0.0038799999999999998; 0.000242; false; 0.213795
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;ERR;0.23; 0.178182; 0.056517;0.0015570000000000004;0.0054589999999999994; 0.000265; false; 0.256222
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;ERR;0.28; 0.204412; 0.070574;0.001671;0.007508000000000001; 0.000477; false; 0.302567
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;ERR;0.33; 0.254978; 0.071793;0.001654;0.007286999999999999; 0.000511; false; 0.352637
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;ERR;0.29; 0.21389; 0.081707;0.0019400000000000003;0.009304000000000002; 0.000505; false; 0.327017
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;ERR;0.31; 0.231761; 0.084383;0.0019080000000000002;0.008263000000000001; 0.000279; false; 0.339558
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;ERR;0.34; 0.255961; 0.080404;0.00208;0.00958; 0.000412; false; 0.368094
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;ERR;0.29; 0.227665; 0.064036;0.001388;0.006935; 0.000413; false; 0.317879
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;ERR;0.41; 0.301085; 0.10453;0.0025480000000000004;0.013065; 0.000563; false; 0.445563
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;ERR;0.0; 0.00152; 0.004385;1.8e-05;2.1e-05; 7e-06; false; 0.006664
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;ERR;0.48; 0.365385; 0.114474;0.0026300000000000004;0.013078; 0.000463; false; 0.513963
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;ERR;0.5; 0.382329; 0.110153;0.002980000000000001;0.014433; 0.000533; false; 0.532038
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;ERR;0.41; 0.318743; 0.078697;0.0029569999999999996;0.016621; 0.000704; false; 0.438713
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;ERR;0.59; 0.427958; 0.145328;0.0034189999999999993;0.019340999999999997; 0.00092; false; 0.623537
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;ERR;0.61; 0.459844; 0.152008;0.002694;0.022038; 0.000565; false; 0.664665
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;ERR;0.68; 0.468865; 0.177764;0.0039000000000000007;0.031232; 0.001126; false; 0.719302
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;ERR;0.65; 0.53646; 0.119558;0.00267;0.019261999999999998; 0.000897; false; 0.704037
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-37-*.mata;ERR;0.62; 0.459635; 0.13563;0.004509;0.029132999999999992; 0.001243; false; 0.673086
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;ERR;0.85; 0.625735; 0.198378;0.004707000000000001;0.037679000000000004; 0.001009; false; 0.911057
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-39-*.mata;ERR;0.74; 0.5571; 0.167909;0.004413999999999999;0.029793; 0.000863; false; 0.788654
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-4-*.mata;ERR;0.0; 0.005259; 0.006559;5.9e-05;5.3e-05; 1.3e-05; false; 0.013314
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-40-*.mata;ERR;0.82; 0.643673; 0.163658;0.003442;0.020125999999999998; 0.001047; false; 0.867584
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-41-*.mata;ERR;0.94; 0.686607; 0.227152;0.004643999999999999;0.029009000000000004; 0.001268; false; 0.995397
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-42-*.mata;ERR;0.82; 0.54349; 0.244829;0.005558999999999997;0.038951; 0.001083; false; 0.882863
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-43-*.mata;ERR;1.1; 0.78819; 0.277325;0.005646999999999998;0.050184999999999994; 0.001521; false; 1.17483
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-44-*.mata;ERR;0.98; 0.668565; 0.234201;0.006613999999999999;0.05759600000000001; 0.001507; false; 1.0289
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-45-*.mata;ERR;1.08; 0.721887; 0.301006;0.006675000000000002;0.06964; 0.001768; false; 1.16023
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-46-*.mata;ERR;1.16; 0.909956; 0.237188;0.003635000000000001;0.033859; 0.001004; false; 1.22579
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-47-*.mata;ERR;1.06; 0.672008; 0.316275;0.005453;0.06405999999999999; 0.001349; false; 1.11826
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-48-*.mata;ERR;1.22; 0.970091; 0.24061;0.003734;0.037983; 0.001551; false; 1.29764
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-49-*.mata;ERR;1.1; 0.82086; 0.27764;0.004089000000000001;0.037720000000000004; 0.00149; false; 1.171
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-5-*.mata;ERR;0.01; 0.008037; 0.007004;6.9e-05;7.8e-05; 1.9e-05; false; 0.016619
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-50-*.mata;ERR;1.48; 1.04067; 0.366166;0.007493;0.0796; 0.001957; false; 1.56795
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-51-*.mata;ERR;1.43; 0.959049; 0.39181;0.007439000000000001;0.084815; 0.001741; false; 1.51332
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-52-*.mata;ERR;1.36; 1.10606; 0.2348;0.004248000000000001;0.049288000000000005; 0.001278; false; 1.44112
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-53-*.mata;ERR;1.42; 0.945073; 0.359832;0.008705000000000001;0.11140800000000001; 0.002211; false; 1.50564
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-54-*.mata;ERR;1.81; 1.2699; 0.429554;0.008599;0.10913500000000001; 0.002668; false; 1.90116
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-55-*.mata;ERR;1.86; 1.42159; 0.396572;0.006507;0.07499099999999999; 0.001817; false; 1.96225
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-56-*.mata;ERR;1.89; 1.20257; 0.525719;0.009141999999999999;0.14922399999999997; 0.002704; false; 1.97665
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-57-*.mata;ERR;1.86; 1.29396; 0.43162;0.009602000000000003;0.14355199999999999; 0.003056; false; 1.94903
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-58-*.mata;ERR;2.5; 1.59462; 0.721809;0.011550999999999999;0.196267; 0.003551; false; 2.61657
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-59-*.mata;ERR;1.95; 1.26616; 0.623923;0.006690000000000001;0.09392400000000004; 0.002096; false; 2.05721
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-6-*.mata;ERR;0.02; 0.012688; 0.009648;0.000125;0.000156; 3.4e-05; false; 0.024641
