name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-uni;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;automata-min-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.16;0.0473711;0.025610499999999998; 0.0527566000; 0.0122209000; 0.0001804000; False; 0.0934873000; 0.1964967000;MISSING;0.89;0.0659721;0.008227499999999999; 0.0359008000; 0.0105185000; 0.0001741000; False; 0.0571579000; 0.1847450000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.13;0.10041939999999999;0.008581400000000001; 0.0059799000; 0.0132160000; 0.0001558000; True; 0.0302595000; 0.1977510000;MISSING;0.82;0.036496299999999995;0.0085229; 0.0054154000; 0.0136028000; 0.0001407000; True; 0.0298539000; 0.1152146000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.17;0.0511275;0.0085699; 0.0409213000; 0.0134200000; 0.0002199000; False; 0.0654871000; 0.2085273000;MISSING;0.83;0.0211795;0.0054883000000000015; 0.0245273000; 0.0071365000; 0.0001360000; False; 0.0388386000; 0.0939035000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.09;0.0278845;0.0055909;MISSING; 0.0078824000; 0.0001113000; False; 0.0150191000; 0.0725718000;MISSING;0.82;0.0369855;0.008882;MISSING; 0.0138071000; 0.0001669000; False; 0.0253360000; 0.1478768000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.13;0.048905699999999996;0.0097061;MISSING; 0.0143596000; 0.0002138000; False; 0.0268549000; 0.1200188000;MISSING;0.86;0.0342026;0.008363500000000001;MISSING; 0.0152509000; 0.0001872000; False; 0.0258999000; 0.1348215000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.13;0.046379;0.009291800000000001;MISSING;0.0155128; 0.0001878000; False; 0.0276900000; 0.1181661000;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.16;0.044173399999999995;0.0095396; 0.0426070000;0.0132781; 0.0001879000; False; 0.0679391000; 0.1536783000;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.11;0.0796388;0.0056688;MISSING;0.0079729; 0.0001061000; True; 0.0153579000; 0.1389911000;MISSING;0.87;0.0506613;0.008784999999999998;MISSING;0.0144647; 0.0001614000; True; 0.0257583000; 0.1464352000;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.22;0.08936349999999998;0.008960899999999996;0.10135910000000001;0.015166700000000002; 0.0001311000; False; 0.1338642000; 0.2724579000;0.0055013;0.97;0.0367644;0.009047599999999998;0.11148369999999999;0.015208699999999999; 0.0000888000; False; 0.1439636000; 0.2347500000;0.0052794
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.19;0.03177100000000001;0.006024699999999999;0.08012499999999999;0.0091366; 0.0001486000; False; 0.1009084000; 0.1717424000;0.0033832;0.89;0.026338499999999997;0.008667900000000004;0.1148773;0.0156239; 0.0001120000; False; 0.1486440000; 0.2101261000;0.0051362000000000005
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10295-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10295-*.mata;0.2;0.0454403;0.008884500000000002;0.07712319999999999;0.012857200000000001; 0.0002529000; False; 0.1074111000; 0.1935734000;0.004669400000000001;0.89;0.0359623;0.008559599999999999;0.1072635;0.0149876; 0.0001928000; False; 0.1370816000; 0.2230852000;0.0033425
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10584-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10584-*.mata;0.19;0.0303571;0.0061018999999999995;0.0935664;0.010997900000000001; 0.0000975000; False; 0.1192042000; 0.1763360000; 0.0052855000;0.92;0.036168;0.0090158;0.1035498;0.0142126; 0.0001263000; False; 0.1341346000; 0.2639974000; 0.0047258000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10608-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10608-*.mata;0.22;0.0450293;0.009063400000000001;0.0951331;0.013777000000000001; 0.0001072000; False; 0.1267325000; 0.2076344000; 0.0050881000;0.95;0.038069;0.008974099999999999;0.10335420000000001;0.0154335; 0.0002123000; False; 0.1360630000; 0.2272557000; 0.0051694000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10611-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10611-*.mata;0.21;0.0455805;0.0086866;0.09231129999999999;0.014083899999999998; 0.0002022000; False; 0.1238682000; 0.2101806000;0.0047834999999999996;0.9;0.0464455;0.014510400000000003;0.08497279999999999;0.009750199999999999; 0.0001282000; False; 0.1166699000; 0.2231868000;0.0032760999999999997
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10629-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10629-*.mata;0.19;0.034158600000000004;0.0097778;0.0753626;0.0149906; 0.0000863000; False; 0.1064938000; 0.1825051000; 0.0028596000;0.95;0.0347075;0.0056571;0.0696868;0.009191300000000001; 0.0000864000; False; 0.0895695000; 0.1711968000; 0.0032471000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10634-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10634-*.mata;0.23;0.046746699999999995;0.0097272;0.0980081;0.0145156; 0.0001392000; False; 0.1311519000; 0.2490276000; 0.0051189000;0.81;0.0355665;0.008308300000000001;0.100642;0.0144751; 0.0000843000; False; 0.1309779000; 0.2166542000; 0.0050062000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10642-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10642-*.mata;0.23;0.0485951;0.0084707;0.0998436;0.0133046; 0.0001594000; False; 0.1297855000; 0.2211493000; 0.0053188000;0.85;0.0268462;0.008742800000000002;0.07506679999999999;0.014371100000000001; 0.0000710000; False; 0.1038362000; 0.1669537000; 0.0031389000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10650-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10650-*.mata;0.17;0.0315704;0.0059353999999999995;0.1150742;0.014923299999999999; 0.0000882000; False; 0.1414413000; 0.2018884000;0.0031981;0.94;0.0289887;0.006390099999999998;0.0912233;0.010729900000000002; 0.0001839000; False; 0.1147417000; 0.2050586000;0.0037809
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10657-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10657-*.mata;0.18;0.0294464;0.005488699999999999;0.0852661;0.0082593; 0.0001094000; False; 0.1060087000; 0.1715666000; 0.0050422000;0.87;0.022606800000000003;0.006656;0.0865147;0.0094547; 0.0001505000; False; 0.1077250000; 0.1619442000; 0.0030864000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10663-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10663-*.mata;0.21;0.046237499999999994;0.0084812;0.0943422;0.0133658; 0.0001052000; False; 0.1234810000; 0.2113474000; 0.0047433000;0.96;0.0339708;0.008239999999999997;0.0789022;0.014141; 0.0000750000; False; 0.1097985000; 0.1916475000; 0.0052962000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10669-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10669-*.mata;0.2;0.047267199999999995;0.0092873;0.0782635;0.013921099999999999; 0.0000721000; False; 0.1075752000; 0.1959434000; 0.0032840000;0.96;0.0353842;0.0084894;0.0916684;0.015081; 0.0000911000; False; 0.1227139000; 0.2080101000; 0.0048771000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10675-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10675-*.mata;0.22;0.048457900000000005;0.008633400000000001;0.0987847;0.0317866; 0.0001104000; False; 0.1663507000; 0.2707408000; 0.0051450000;0.87;0.0360211;0.0086335;0.1111211;0.0091246; 0.0001174000; False; 0.1374131000; 0.2231118000; 0.0052049000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10680-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10680-*.mata;0.17;0.027991099999999998;0.0055671;0.07834669999999999;0.0083115; 0.0001034000; False; 0.0998436000; 0.1631414000; 0.0057012000;0.99;0.038081000000000004;0.009413699999999999;0.1314428;0.0238885; 0.0001000000; False; 0.1726847000; 0.2653849000; 0.0051836000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10681-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10681-*.mata;0.18;0.0289452;0.009437299999999997;0.07798449999999998;0.0147745; 0.0001281000; False; 0.1102543000; 0.1753884000;0.005174499999999999;0.9;0.0227212;0.005803300000000001;0.09898900000000001;0.010221000000000001; 0.0001570000; False; 0.1209505000; 0.1784545000;0.0036322999999999998
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10682-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10682-*.mata;0.16;0.0278186;0.0059467;0.08790170000000001;0.008750299999999999; 0.0001718000; False; 0.1226797000; 0.1854167000;0.0031617000000000004;0.88;0.0226116;0.0096419;0.0890737;0.015149800000000001; 0.0001019000; False; 0.1219391000; 0.1755414000;0.0052093
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10684-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10684-*.mata;0.2;0.04275;0.008304;0.0884745;0.0121142; 0.0001098000; False; 0.1169610000; 0.1989331000; 0.0048051000;0.88;0.0580066;0.007665;0.09393850000000001;0.0140108; 0.0000913000; False; 0.1307050000; 0.2464257000; 0.0049203000
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query3111-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query3111-*.mata;0.2;0.0481808;0.006988500000000001;0.07372580000000001;0.009545500000000002; 0.0001744000; False; 0.0964395000; 0.2238493000;0.0032944;0.94;0.0369963;0.009204800000000003;0.1163152;0.0159109; 0.0001184000; False; 0.1500000000; 0.2375561000;0.0054938
