name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection_emptiness;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.04; 0.0173414; 0.0044887; 0.0210;0.32;0.10640240000000001;0.23655790000000002;0.0065472; 0.0002110000; True;0.04; 0.0185466; 0.00958066;0.020357538;0.004252292; 1.392e-06; true;0.27; 0.0289793; 0.00973409;0.0020644189999999996;0.168805605;0.16978758100000002; 2.382e-06; true;0.2; 0.0314151; 0.0145413;0.000590923;0.055650939999999996;0.099130981; 0.000758885; true;1.23; 0.0638; 0.0000; 0.0928; 0.0124; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;2.27; 0.0445; 0.0045; 0.8408; 0.5147; 0.5244; True;2.13;0.18634683999999999; 0.384775261; 0.021227323; true;2.31;0.04304824500000001; 0.427792009; 2.6164E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.14; 0.0429983; 0.0200783; 0.1045;0.61;0.08273089999999997;0.43107680000000004;0.0250959; 0.0001986000; True;0.14; 0.065653; 0.0264909;0.192516177;0.036480346; 2.216e-06; true;0.7; 0.0879794; 0.0292889;0.0039035140000000003;0.344770987;0.380285577; 3.482e-06; true;0.4; 0.063743; 0.0152056;0.0006973029999999999;0.10465163499999999;0.26626171; 0.00217181; true;1.47; 0.0753; 0.0000; 0.2259; 0.0278; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;4.0; 0.0448; 0.0051; 1.9897; 1.0831; 1.1129; True;2.3;0.18861854200000003; 0.395423134; 0.007781904; true;3.64;0.064571676; 0.910092643; 4.5293E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.24; 0.0629162; 0.0111563; 0.2119;1.17;0.0821034;1.0868163;0.05031069999999999; 0.0001596000; True;0.26; 0.0806523; 0.0179017;0.188576565;0.032711895; 1.729e-06; true;1.35; 0.0500581; 0.0180688;0.0046094479999999995;0.6502892899999999;0.666860604; 2.464e-06; true;0.95; 0.0516094; 0.0196865;0.0008264570000000001;0.277404748;0.5901968200000001; 0.0045721; true;1.57; 0.0556; 0.0000; 0.4772; 0.0702; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;6.82; 0.0562; 0.0063; 4.3270; 1.7009; 1.7290; True;2.64;0.19106278500000004; 0.660278935; 0.022729418; true;4.97;0.038801292; 1.881812226; 1.8957E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.45; 0.05812; 0.0139438; 0.4421;2.29;0.11138950000000003;2.0674573;0.07623600000000001; 0.0001848000; True;0.49; 0.0676399; 0.0202352;0.38940537399999997;0.06901131599999999; 1.962e-06; true;3.46; 0.0703206; 0.022869;0.006093982;1.745850592;1.734941895; 2.701e-06; true;2.05; 0.0523001; 0.0181489;0.000840483;0.616250854;1.3078625879999999; 0.00925799; true;2.42; 0.1120; 0.0000; 1.2865; 0.1431; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;19.31; 0.0615; 0.0073; 12.2880; 6.3454; 6.4935; True;3.94;0.25498518899999995; 1.317093543; 0.014036506; true;10.66;0.056827596; 4.605941736; 4.2385E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.99; 0.0764523; 0.0167513; 0.9831;5.28;0.1020812;4.7338792000000005;0.16931980000000002; 0.0002723000; True;1.04; 0.0767469; 0.0253103;0.8778833779999999;0.189948601; 1.818e-06; true;8.51; 0.0759845; 0.0244498;0.007044488999999999;4.055031104;4.61682619; 3.124e-06; true;4.82; 0.0720814; 0.0236121;0.0011872840000000003;1.510720681;3.034414573; 0.0141278; true;4.23; 0.1212; 0.0000; 2.9023; 0.3338; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;44.58; 0.1161; 0.0156; 29.2026; 14.3068; 14.7084; True;4.87;0.32207759899999994; 2.407915595; 0.044835442; true;22.65;0.060683005000000005; 11.568937287; 3.4833E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;2.06; 0.0937722; 0.0181968; 2.2099;11.61;0.11827410000000001;11.0840536;0.36622839999999995; 0.0002868000; True;2.15; 0.0862535; 0.0569915;2.084993753;0.455857184; 2.877e-06; true;17.66; 0.0895053; 0.033089;0.007975597000000001;8.286175204;9.786040725; 4.033e-06; true;8.27; 0.0911814; 0.0261108;0.0014000840000000002;2.893392064;5.316270565; 0.0108762; true;8.47; 0.1249; 0.0000; 6.9316; 0.8947; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.26;0.299550764; 4.58923892; 0.031967642; true;55.69;0.063255274; 32.137095757; 3.347E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;5.66; 0.100866; 0.0222887; 5.8540;23.0;0.1042764;22.0108175;0.7515110999999999; 0.0003333000; True;4.9; 0.10432; 0.0339308;4.085837139000001;1.72668331; 1.92e-06; true;37.31; 0.136538; 0.0563607;0.017254009;19.50719598;19.606819907000002; 4.099e-06; true;20.49; 0.10923; 0.035991;0.0018203389999999998;8.254509058;11.925719617; 0.0108822; true;16.56; 0.1522; 0.0000; 15.0617; 2.1670; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;15.03;0.25505266099999996; 11.010580139; 0.030295178; true;TO;0.059111686;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;13.75; 0.113892; 0.0270209; 13.3860;46.01;0.11308350000000003;44.819695499999995;1.6321418; 0.0001355000; True;14.96; 0.102391; 0.0335675;11.674823229;4.786340739; 2.929e-06; true;TO; 0.11781; 0.0429089;0.009746179;22.427923548000003;22.636102104;MISSING;MISSING;47.03; 0.0993861; 0.0239345;0.0016930079999999998;18.101887116999997;29.00098191; 8.3909e-05; true;33.73; 0.1715; 0.0000; 31.3209; 5.6170; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;29.38;0.27990976300000003; 21.644571713; 0.034796913; true;TO;0.063722314;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;37.06; 0.197998; 0.0622956; 37.0901;TO;0.1642731;56.3107131;3.1242704000000003;MISSING;MISSING;35.78; 0.0767282; 0.0312122;27.459514980999998;11.712294861; 2.171e-06; true;TO; 0.0890154; 0.0251429;0.006693616000000002;21.634957827;25.802607735;MISSING;MISSING;TO; 0.135031; 0.0465237;0.002038283;20.954195482000003;20.81771912;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;67.01;0.299795994; 49.819533765; 0.067331; true;TO;0.082378582;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO; 0.14268; 0.0319099;MISSING;TO;0.1417636;33.5106816;1.9481231;MISSING;MISSING;TO; 0.151761; 0.0942575;31.606454550000002;10.750549005;MISSING;MISSING;TO; 0.139312; 0.0414037;0.013282286999999999;26.695412616;27.773524687;MISSING;MISSING;TO; 0.14535; 0.0421488;0.002273273;20.656802518;21.302483817;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.419119274;MISSING;MISSING;MISSING;TO;0.14154295200000003;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.00189527; 0.000381131; 0.0000;0.14;0.0616115; 0.0157762000; 0.0001269000; 0.0003607000; True;0.0; 0.00447448; 0.0122202; 1.5963e-05; 5.486e-06; 7.73e-07; true;0.0; 0.00132642; 0.00583819;0.000176027; 2.7555e-05; 2.3798e-05; 1.428e-06; true;0.0; 0.0013607; 0.00591476;3.7343e-05; 0.000605531; 0.000520341; 6.0699e-05; true;1.14; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; True;1.05; 0.0056; 0.0001; 0.0003; 0.0001; True;0.95; 0.0055; 0.0003; 0.0002; 0.0003; 0.0004; True;0.92;0.081337228; 0.014791181; 0.001511943; true;0.8;0.011591199; 0.002654128; 3.6997E-5; true
